question_id,question_type,accepted,reasons
AAPL_2025_TEXT_FACT_4011dcad,text_fact,True,
TSLA_2025_TEXT_FACT_9f822d5c,text_fact,True,
AAPL_2025_EXPLANATION_ac3df4d4,explanation,True,
AAPL_2025_EXPLANATION_74449cd9,explanation,True,
AAPL_2025_EXPLANATION_a38bb9a4,explanation,True,
AAPL_2025_EXPLANATION_1b1734db,explanation,True,
AAPL_2025_EXPLANATION_1c53cfe5,explanation,True,
AAPL_2025_EXPLANATION_7c4d05ee,explanation,True,
AAPL_2025_EXPLANATION_1f9e8384,explanation,True,
AAPL_2025_EXPLANATION_6d431ce3,explanation,True,
AAPL_2025_EXPLANATION_664b9ceb,explanation,True,
AAPL_2025_EXPLANATION_225c2c7e,explanation,True,
AAPL_2025_EXPLANATION_2555fd22,explanation,True,
AMZN_2025_EXPLANATION_1c04f720,explanation,True,
AMZN_2025_EXPLANATION_36f13acd,explanation,True,
AMZN_2025_EXPLANATION_8a80f5c8,explanation,True,
AMZN_2025_EXPLANATION_011f508f,explanation,True,
AMZN_2025_EXPLANATION_4a7e7840,explanation,True,
AMZN_2025_EXPLANATION_7ce6faaa,explanation,True,
AMZN_2025_EXPLANATION_9f5765f9,explanation,True,
AMZN_2025_EXPLANATION_119bf615,explanation,True,
AMZN_2025_EXPLANATION_4b9b5851,explanation,True,
GOOG_2025_EXPLANATION_42690203,explanation,True,
GOOG_2025_EXPLANATION_51c31aab,explanation,True,
GOOG_2025_EXPLANATION_b1b8feea,explanation,True,
GOOG_2025_EXPLANATION_a5a67ef8,explanation,True,
GOOG_2025_EXPLANATION_88e71cce,explanation,True,
GOOG_2025_EXPLANATION_d5e1a9a3,explanation,True,
GOOG_2025_EXPLANATION_0891e064,explanation,True,
GOOG_2025_EXPLANATION_0ff24e3e,explanation,True,
GOOG_2025_EXPLANATION_17a6e7e5,explanation,True,
GOOG_2025_EXPLANATION_1eb1c6c2,explanation,True,
GOOG_2025_EXPLANATION_49d93058,explanation,True,
META_2025_EXPLANATION_60e21a96,explanation,True,
META_2025_EXPLANATION_0e8381ae,explanation,True,
META_2025_EXPLANATION_14a36012,explanation,True,
META_2025_EXPLANATION_bc954f74,explanation,True,
META_2025_EXPLANATION_f741b7bc,explanation,True,
META_2025_EXPLANATION_865ae800,explanation,True,
META_2025_EXPLANATION_72039c50,explanation,True,
MSFT_2025_EXPLANATION_c48f1b3e,explanation,True,
MSFT_2025_EXPLANATION_afcbe3cd,explanation,True,
MSFT_2025_EXPLANATION_647e17e8,explanation,True,
MSFT_2025_EXPLANATION_6b0ca056,explanation,True,
MSFT_2025_EXPLANATION_ff667c79,explanation,True,
MSFT_2025_EXPLANATION_8b2fb4f8,explanation,True,
MSFT_2025_EXPLANATION_668153d9,explanation,True,
MSFT_2025_EXPLANATION_0c64e0be,explanation,True,
MSFT_2025_EXPLANATION_e5b8e964,explanation,True,
NVDA_2025_EXPLANATION_8aa743b2,explanation,True,
NVDA_2025_EXPLANATION_99eedec1,explanation,True,
NVDA_2025_EXPLANATION_3b5d0035,explanation,True,
NVDA_2025_EXPLANATION_0d8250a7,explanation,True,
NVDA_2025_EXPLANATION_6401f5ac,explanation,True,
NVDA_2025_EXPLANATION_ebf2a7e1,explanation,True,
NVDA_2025_EXPLANATION_b7b3c446,explanation,True,
NVDA_2025_EXPLANATION_377f9e0a,explanation,True,
NVDA_2025_EXPLANATION_d337edb5,explanation,True,
NVDA_2025_EXPLANATION_0c6f3bb2,explanation,True,
TSLA_2025_EXPLANATION_8081c204,explanation,True,
TSLA_2025_EXPLANATION_fe914ed3,explanation,True,
TSLA_2025_EXPLANATION_842612a8,explanation,True,
TSLA_2025_EXPLANATION_3e28e215,explanation,True,
TSLA_2025_EXPLANATION_82769cab,explanation,True,
TSLA_2025_EXPLANATION_e7fcf007,explanation,True,
TSLA_2025_EXPLANATION_3c4c46be,explanation,True,
TSLA_2025_EXPLANATION_a917c532,explanation,True,
TSLA_2025_EXPLANATION_593c9163,explanation,True,
TSLA_2025_EXPLANATION_c7f5bf86,explanation,True,
TSLA_2025_EXPLANATION_7c0157a3,explanation,True,
AAPL_2025_TEXT_FACT_204adb9c,text_fact,True,
AAPL_2025_EXPLANATION_bfbe8dc6,explanation,True,
AAPL_2025_EXPLANATION_62304c77,explanation,True,
AAPL_2025_EXPLANATION_3d5918d4,explanation,True,
AAPL_2025_EXPLANATION_6b161f9b,explanation,True,
AAPL_2025_EXPLANATION_4eed27ac,explanation,True,
AAPL_2025_EXPLANATION_1ff08f6f,explanation,True,
AMZN_2025_EXPLANATION_253f640f,explanation,True,
AMZN_2025_EXPLANATION_30b6e4f1,explanation,True,
AMZN_2025_EXPLANATION_8404526c,explanation,True,
AMZN_2025_EXPLANATION_093f6723,explanation,True,
AMZN_2025_EXPLANATION_006ee996,explanation,True,
GOOG_2025_EXPLANATION_50787cde,explanation,True,
GOOG_2025_EXPLANATION_fdcdb5cb,explanation,True,
GOOG_2025_EXPLANATION_2eac4da9,explanation,True,
GOOG_2025_EXPLANATION_fc59225c,explanation,True,
GOOG_2025_EXPLANATION_9c13e2f3,explanation,True,
GOOG_2025_EXPLANATION_a5131c3a,explanation,True,
META_2025_EXPLANATION_92a5497a,explanation,True,
META_2025_EXPLANATION_ac2b1231,explanation,True,
META_2025_EXPLANATION_e41ba779,explanation,True,
MSFT_2025_EXPLANATION_c91a9d4c,explanation,True,
MSFT_2025_EXPLANATION_18a8256a,explanation,True,
MSFT_2025_EXPLANATION_edeb0811,explanation,True,
MSFT_2025_EXPLANATION_c0d3adda,explanation,True,
NVDA_2025_EXPLANATION_853722c2,explanation,True,
NVDA_2025_EXPLANATION_f6e0d7b8,explanation,True,
NVDA_2025_EXPLANATION_00d94485,explanation,True,
NVDA_2025_EXPLANATION_f213f587,explanation,True,
NVDA_2025_EXPLANATION_86aa6987,explanation,True,
NVDA_2025_EXPLANATION_74074ecc,explanation,True,
TSLA_2025_TEXT_FACT_805a8c23,text_fact,True,
TSLA_2025_EXPLANATION_45b395dd,explanation,True,
TSLA_2025_EXPLANATION_3fb81ed0,explanation,True,
TSLA_2025_EXPLANATION_dc3463e8,explanation,True,
TSLA_2025_EXPLANATION_485e4855,explanation,True,
TSLA_2025_EXPLANATION_50fe3de2,explanation,True,
TSLA_2025_EXPLANATION_41eb91f9,explanation,True,
